stream,window_start,ion,mean_concentration
MPR,1988-01-01,K,NA
MPR,1988-01-01,Mg,NA
MPR,1988-01-01,NO3,NA
MPR,1988-01-01,Ca,NA
MPR,1988-01-01,NH4,NA
MPR,1988-03-04,K,NA
MPR,1988-03-04,Mg,NA
MPR,1988-03-04,NO3,NA
MPR,1988-03-04,Ca,NA
MPR,1988-03-04,NH4,NA
MPR,1988-05-06,K,NA
MPR,1988-05-06,Mg,NA
MPR,1988-05-06,NO3,NA
MPR,1988-05-06,Ca,NA
MPR,1988-05-06,NH4,NA
MPR,1988-07-08,K,NA
MPR,1988-07-08,Mg,NA
MPR,1988-07-08,NO3,NA
MPR,1988-07-08,Ca,NA
MPR,1988-07-08,NH4,NA
MPR,1988-09-09,K,NA
MPR,1988-09-09,Mg,NA
MPR,1988-09-09,NO3,NA
MPR,1988-09-09,Ca,NA
MPR,1988-09-09,NH4,NA
MPR,1988-11-11,K,NA
MPR,1988-11-11,Mg,NA
MPR,1988-11-11,NO3,NA
MPR,1988-11-11,Ca,NA
MPR,1988-11-11,NH4,NA
MPR,1989-01-13,K,NA
MPR,1989-01-13,Mg,NA
MPR,1989-01-13,NO3,NA
MPR,1989-01-13,Ca,NA
MPR,1989-01-13,NH4,NA
MPR,1989-03-17,K,0.77
MPR,1989-03-17,Mg,1.92
MPR,1989-03-17,NO3,69
MPR,1989-03-17,Ca,6.15
MPR,1989-03-17,NH4,NA
MPR,1989-05-19,K,0.675
MPR,1989-05-19,Mg,1.965
MPR,1989-05-19,NO3,58.285714285714285
MPR,1989-05-19,Ca,6.525
MPR,1989-05-19,NH4,NA
MPR,1989-07-21,K,0.6614285714285714
MPR,1989-07-21,Mg,1.5783333333333334
MPR,1989-07-21,NO3,73.71428571428571
MPR,1989-07-21,Ca,6.252857142857143
MPR,1989-07-21,NH4,NA
MPR,1989-09-22,K,1.21
MPR,1989-09-22,Mg,2.194
MPR,1989-09-22,NO3,263.5
MPR,1989-09-22,Ca,6.906
MPR,1989-09-22,NH4,NA
MPR,1989-11-24,K,0.9
MPR,1989-11-24,Mg,2.5187500000000003
MPR,1989-11-24,NO3,85.85714285714286
MPR,1989-11-24,Ca,9.15375
MPR,1989-11-24,NH4,NA
MPR,1990-01-26,K,1.0855555555555556
MPR,1990-01-26,Mg,2.048888888888889
MPR,1990-01-26,NO3,243.88888888888889
MPR,1990-01-26,Ca,8.305
MPR,1990-01-26,NH4,NA
MPR,1990-03-30,K,0.9944444444444445
MPR,1990-03-30,Mg,2.207777777777778
MPR,1990-03-30,NO3,130.11111111111111
MPR,1990-03-30,Ca,9.503333333333334
MPR,1990-03-30,NH4,NA
MPR,1990-06-01,K,0.9299999999999999
MPR,1990-06-01,Mg,2.0355555555555553
MPR,1990-06-01,NO3,175.66666666666666
MPR,1990-06-01,Ca,8.523333333333333
MPR,1990-06-01,NH4,NA
MPR,1990-08-03,K,0.8422222222222222
MPR,1990-08-03,Mg,2.1055555555555556
MPR,1990-08-03,NO3,128.88888888888889
MPR,1990-08-03,Ca,9.421111111111111
MPR,1990-08-03,NH4,NA
MPR,1990-10-05,K,0.7633333333333333
MPR,1990-10-05,Mg,1.7955555555555556
MPR,1990-10-05,NO3,142.125
MPR,1990-10-05,Ca,6.92
MPR,1990-10-05,NH4,NA
MPR,1990-12-07,K,0.6488888888888888
MPR,1990-12-07,Mg,2.25
MPR,1990-12-07,NO3,139
MPR,1990-12-07,Ca,7.6322222222222225
MPR,1990-12-07,NH4,NA
MPR,1991-02-08,K,0.92125
MPR,1991-02-08,Mg,1.9975
MPR,1991-02-08,NO3,105.57142857142857
MPR,1991-02-08,Ca,7.551428571428572
MPR,1991-02-08,NH4,NA
MPR,1991-04-12,K,0.77
MPR,1991-04-12,Mg,0.86875
MPR,1991-04-12,NO3,52.22222222222222
MPR,1991-04-12,Ca,4.635
MPR,1991-04-12,NH4,NA
MPR,1991-06-14,K,0.77375
MPR,1991-06-14,Mg,1.96875
MPR,1991-06-14,NO3,57.125
MPR,1991-06-14,Ca,6.26
MPR,1991-06-14,NH4,NA
MPR,1991-08-16,K,0.8388888888888889
MPR,1991-08-16,Mg,2.4766666666666666
MPR,1991-08-16,NO3,106
MPR,1991-08-16,Ca,8.877777777777778
MPR,1991-08-16,NH4,NA
MPR,1991-10-18,K,0.655
MPR,1991-10-18,Mg,1.77375
MPR,1991-10-18,NO3,101.44444444444444
MPR,1991-10-18,Ca,5.67
MPR,1991-10-18,NH4,NA
MPR,1991-12-20,K,0.8244444444444444
MPR,1991-12-20,Mg,2.183333333333333
MPR,1991-12-20,NO3,117.77777777777777
MPR,1991-12-20,Ca,9.377777777777778
MPR,1991-12-20,NH4,NA
MPR,1992-02-21,K,0.9188888888888889
MPR,1992-02-21,Mg,2.7511111111111113
MPR,1992-02-21,NO3,107.375
MPR,1992-02-21,Ca,9.365
MPR,1992-02-21,NH4,NA
MPR,1992-04-24,K,0.8366666666666667
MPR,1992-04-24,Mg,1.7522222222222221
MPR,1992-04-24,NO3,54.625
MPR,1992-04-24,Ca,7.101111111111111
MPR,1992-04-24,NH4,NA
MPR,1992-06-26,K,0.7933333333333333
MPR,1992-06-26,Mg,2.1577777777777776
MPR,1992-06-26,NO3,43.666666666666664
MPR,1992-06-26,Ca,8.5
MPR,1992-06-26,NH4,NA
MPR,1992-08-28,K,0.9
MPR,1992-08-28,Mg,2.4855555555555555
MPR,1992-08-28,NO3,46.44444444444444
MPR,1992-08-28,Ca,10.154444444444444
MPR,1992-08-28,NH4,NA
MPR,1992-10-30,K,0.62
MPR,1992-10-30,Mg,1.5975
MPR,1992-10-30,NO3,35.166666666666664
MPR,1992-10-30,Ca,6.53125
MPR,1992-10-30,NH4,NA
MPR,1993-01-01,K,0.7222222222222222
MPR,1993-01-01,Mg,1.981111111111111
MPR,1993-01-01,NO3,78
MPR,1993-01-01,Ca,7.802222222222222
MPR,1993-01-01,NH4,NA
MPR,1993-03-05,K,0.8533333333333334
MPR,1993-03-05,Mg,2.3055555555555554
MPR,1993-03-05,NO3,80.22222222222223
MPR,1993-03-05,Ca,9.028888888888888
MPR,1993-03-05,NH4,NA
MPR,1993-05-07,K,0.8077777777777778
MPR,1993-05-07,Mg,2.051111111111111
MPR,1993-05-07,NO3,55.33333333333333
MPR,1993-05-07,Ca,8.234444444444444
MPR,1993-05-07,NH4,NA
MPR,1993-07-09,K,0.8075
MPR,1993-07-09,Mg,1.97375
MPR,1993-07-09,NO3,50.75
MPR,1993-07-09,Ca,8.455
MPR,1993-07-09,NH4,NA
MPR,1993-09-10,K,0.6866666666666666
MPR,1993-09-10,Mg,1.9444444444444444
MPR,1993-09-10,NO3,38.888888888888886
MPR,1993-09-10,Ca,7.8822222222222225
MPR,1993-09-10,NH4,NA
MPR,1993-11-12,K,0.5988888888888889
MPR,1993-11-12,Mg,1.5222222222222221
MPR,1993-11-12,NO3,33.2
MPR,1993-11-12,Ca,6.6
MPR,1993-11-12,NH4,NA
MPR,1994-01-14,K,0.6366666666666667
MPR,1994-01-14,Mg,1.8822222222222222
MPR,1994-01-14,NO3,6.333333333333333
MPR,1994-01-14,Ca,8
MPR,1994-01-14,NH4,NA
MPR,1994-03-18,K,0.7588888888888888
MPR,1994-03-18,Mg,2.1155555555555554
MPR,1994-03-18,NO3,18.4
MPR,1994-03-18,Ca,9.256666666666666
MPR,1994-03-18,NH4,NA
MPR,1994-05-20,K,0.8277777777777777
MPR,1994-05-20,Mg,2.3544444444444443
MPR,1994-05-20,NO3,24.75
MPR,1994-05-20,Ca,8.94111111111111
MPR,1994-05-20,NH4,NA
MPR,1994-07-22,K,0.8722222222222222
MPR,1994-07-22,Mg,2.428888888888889
MPR,1994-07-22,NO3,179
MPR,1994-07-22,Ca,9.212222222222222
MPR,1994-07-22,NH4,NA
MPR,1994-09-23,K,0.7644444444444445
MPR,1994-09-23,Mg,1.93
MPR,1994-09-23,NO3,NA
MPR,1994-09-23,Ca,8.956666666666667
MPR,1994-09-23,NH4,NA
MPR,1994-11-25,K,0.738
MPR,1994-11-25,Mg,2.338
MPR,1994-11-25,NO3,43
MPR,1994-11-25,Ca,8.16
MPR,1994-11-25,NH4,NA
Q1,1988-01-01,K,0.8066666666666666
Q1,1988-01-01,Mg,2.1926666666666668
Q1,1988-01-01,NO3,155.06666666666666
Q1,1988-01-01,Ca,3.42
Q1,1988-01-01,NH4,27.533333333333335
Q1,1988-03-04,K,0.89
Q1,1988-03-04,Mg,1.976875
Q1,1988-03-04,NO3,207.8125
